        NOP                     ; 00
        LD BC,NNNN              ; 01 34 12
        LD (BC),A               ; 02
        INC BC                  ; 03
        INC B                   ; 04
        DEC B                   ; 05
        LD B,NN                 ; 06 56
        RLCA                    ; 07
        EX AF,AF'               ; 08
        ADD HL,BC               ; 09
        LD A,(BC)               ; 0A
        DEC BC                  ; 0B
        INC C                   ; 0C
        DEC C                   ; 0D
        LD C,NN                 ; 0E 56
        RRCA                    ; 0F
        DJNZ NN                 ; 10 00
        LD DE,NNNN              ; 11 34 12
        LD (DE),A               ; 12
        INC DE                  ; 13
        INC D                   ; 14
        DEC D                   ; 15
        LD D,NN                 ; 16 56
        RLA                     ; 17
        JR NN                   ; 18 00
        ADD HL,DE               ; 19
        LD A,(DE)               ; 1A
        DEC DE                  ; 1B
        INC E                   ; 1C
        DEC E                   ; 1D
        LD E,NN                 ; 1E 56
        RRA                     ; 1F
        JR NZ,NN                ; 20 00
        LD HL,NNNN              ; 21 34 12
        LD (NNNN),HL            ; 22 34 12
        INC HL                  ; 23
        INC H                   ; 24
        DEC H                   ; 25
        LD H,NN                 ; 26 56
        DAA                     ; 27
        JR Z,NN                 ; 28 00
        ADD HL,HL               ; 29
        LD HL,(NNNN)            ; 2A 34 12
        DEC HL                  ; 2B
        INC L                   ; 2C
        DEC L                   ; 2D
        LD L,NN                 ; 2E 56
        CPL                     ; 2F
        JR NC,NN                ; 30 00
        LD SP,NNNN              ; 31 34 12
        LD (NNNN),A             ; 32 34 12
        INC SP                  ; 33
        INC (HL)                ; 34
        DEC (HL)                ; 35
        LD (HL),NN              ; 36 56
        SCF                     ; 37
        JR C,NN                 ; 38 00
        ADD HL,SP               ; 39
        LD A,(NNNN)             ; 3A 34 12
        DEC SP                  ; 3B
        INC A                   ; 3C
        DEC A                   ; 3D
        LD A,NN                 ; 3E 56
        CCF                     ; 3F
        LD B,B                  ; 40
        LD B,C                  ; 41
        LD B,D                  ; 42
        LD B,E                  ; 43
        LD B,H                  ; 44
        LD B,L                  ; 45
        LD B,(HL)               ; 46
        LD B,A                  ; 47
        LD C,B                  ; 48
        LD C,C                  ; 49
        LD C,D                  ; 4A
        LD C,E                  ; 4B
        LD C,H                  ; 4C
        LD C,L                  ; 4D
        LD C,(HL)               ; 4E
        LD C,A                  ; 4F
        LD D,B                  ; 50
        LD D,C                  ; 51
        LD D,D                  ; 52
        LD D,E                  ; 53
        LD D,H                  ; 54
        LD D,L                  ; 55
        LD D,(HL)               ; 56
        LD D,A                  ; 57
        LD E,B                  ; 58
        LD E,C                  ; 59
        LD E,D                  ; 5A
